County,CDLAC Region
Alameda,Bay Area Region
Alpine,None
Amador,None
Butte,Northern Region
Calaveras,None
Colusa,None
Contra Costa,Bay Area Region
Del Norte,None
El Dorado,Northern Region
Fresno,Inland Region
Glenn,None
Humboldt,None
Imperial,Inland Region
Inyo,None
Kern,Inland Region
Kings,Inland Region
Lake,None
Lassen,None
Los Angeles,City of Los Angeles (if within city limits); Balance of Los Angeles County (if outside city limits)
Madera,Inland Region
Marin,Bay Area Region
Mariposa,None
Mendocino,None
Merced,Inland Region
Modoc,None
Mono,None
Monterey,Coastal Region
Napa,Coastal Region
Nevada,None
Orange,Coastal Region
Placer,Northern Region
Plumas,None
Riverside,Inland Region
Sacramento,Northern Region
San Benito,Coastal Region
San Bernardino,Inland Region
San Diego,Coastal Region
San Francisco,Bay Area Region
San Joaquin,Northern Region
San Luis Obispo,Coastal Region
San Mateo,Bay Area Region
Santa Barbara,Coastal Region
Santa Clara,Bay Area Region
Santa Cruz,Bay Area Region
Shasta,Northern Region
Sierra,None
Siskiyou,None
Solano,Northern Region
Sonoma,Coastal Region
Stanislaus,Inland Region
Sutter,Northern Region
Tehama,None
Trinity,None
Tulare,Inland Region
Tuolumne,None
Ventura,Coastal Region
Yolo,Northern Region
Yuba,Northern Region
